"","Region/city","year","sales"
"1","Hele landet","2018",5464
"2","Hele landet","2019",6596
"3","Hele landet","2020",10929
"4","Hele landet","2021",22990
"5","Region Hovedstaden","2018",2322
"6","Region Hovedstaden","2019",2691
"7","Region Hovedstaden","2020",4334
"8","Region Hovedstaden","2021",8850
"9","Landsdel Byen København","2018",660
"10","Landsdel Byen København","2019",739
"11","Landsdel Byen København","2020",1227
"12","Landsdel Byen København","2021",2502
"13","København","2018",474
"14","København","2019",543
"15","København","2020",902
"16","København","2021",1872
"17","Frederiksberg","2018",108
"18","Frederiksberg","2019",110
"19","Frederiksberg","2020",179
"20","Frederiksberg","2021",352
"21","Dragør","2018",35
"22","Dragør","2019",34
"23","Dragør","2020",57
"24","Dragør","2021",112
"25","Tårnby","2018",43
"26","Tårnby","2019",52
"27","Tårnby","2020",89
"28","Tårnby","2021",166
"29","Landsdel Københavns omegn","2018",793
"30","Landsdel Københavns omegn","2019",890
"31","Landsdel Københavns omegn","2020",1383
"32","Landsdel Københavns omegn","2021",2747
"33","Albertslund","2018",9
"34","Albertslund","2019",13
"35","Albertslund","2020",29
"36","Albertslund","2021",60
"37","Ballerup","2018",42
"38","Ballerup","2019",48
"39","Ballerup","2020",81
"40","Ballerup","2021",194
"41","Brøndby","2018",20
"42","Brøndby","2019",24
"43","Brøndby","2020",46
"44","Brøndby","2021",89
"45","Gentofte","2018",298
"46","Gentofte","2019",308
"47","Gentofte","2020",451
"48","Gentofte","2021",802
"49","Gladsaxe","2018",77
"50","Gladsaxe","2019",84
"51","Gladsaxe","2020",146
"52","Gladsaxe","2021",319
"53","Glostrup","2018",18
"54","Glostrup","2019",19
"55","Glostrup","2020",50
"56","Glostrup","2021",88
"57","Herlev","2018",27
"58","Herlev","2019",28
"59","Herlev","2020",39
"60","Herlev","2021",92
"61","Hvidovre","2018",55
"62","Hvidovre","2019",69
"63","Hvidovre","2020",87
"64","Hvidovre","2021",170
"65","Høje-Taastrup","2018",41
"66","Høje-Taastrup","2019",44
"67","Høje-Taastrup","2020",71
"68","Høje-Taastrup","2021",166
"69","Ishøj","2018",17
"70","Ishøj","2019",17
"71","Ishøj","2020",30
"72","Ishøj","2021",67
"73","Lyngby-Taarbæk","2018",135
"74","Lyngby-Taarbæk","2019",164
"75","Lyngby-Taarbæk","2020",248
"76","Lyngby-Taarbæk","2021",469
"77","Rødovre","2018",32
"78","Rødovre","2019",42
"79","Rødovre","2020",65
"80","Rødovre","2021",147
"81","Vallensbæk","2018",22
"82","Vallensbæk","2019",30
"83","Vallensbæk","2020",40
"84","Vallensbæk","2021",84
"85","Landsdel Nordsjælland","2018",848
"86","Landsdel Nordsjælland","2019",1032
"87","Landsdel Nordsjælland","2020",1671
"88","Landsdel Nordsjælland","2021",3479
"89","Allerød","2018",63
"90","Allerød","2019",80
"91","Allerød","2020",111
"92","Allerød","2021",230
"93","Egedal","2018",62
"94","Egedal","2019",79
"95","Egedal","2020",134
"96","Egedal","2021",263
"97","Fredensborg","2018",59
"98","Fredensborg","2019",72
"99","Fredensborg","2020",138
"100","Fredensborg","2021",285
"101","Frederikssund","2018",51
"102","Frederikssund","2019",74
"103","Frederikssund","2020",135
"104","Frederikssund","2021",280
"105","Furesø","2018",76
"106","Furesø","2019",90
"107","Furesø","2020",152
"108","Furesø","2021",303
"109","Gribskov","2018",55
"110","Gribskov","2019",63
"111","Gribskov","2020",121
"112","Gribskov","2021",242
"113","Halsnæs","2018",13
"114","Halsnæs","2019",30
"115","Halsnæs","2020",51
"116","Halsnæs","2021",141
"117","Helsingør","2018",81
"118","Helsingør","2019",100
"119","Helsingør","2020",157
"120","Helsingør","2021",339
"121","Hillerød","2018",71
"122","Hillerød","2019",98
"123","Hillerød","2020",159
