"","Area_ID","Area_name.x","year","pop","Area_name.y","pop_density"
"1",3,"København","2017",602481,"København",7855.2
"2",6,"Frederiksberg","2017",105037,"Frederiksberg",12063.5
"3",9,"Ballerup","2017",39019,"Ballerup",2486.1
"4",10,"Smørumnedre","2017",8925,"Smørumnedre",2345.6
"5",12,"Landdistrikter","2017",230,"Landdistrikter",15.9
"6",14,"Brøndby","2017",35367,"Brøndby",2696.1
"7",16,"Landdistrikter","2017",44,"Landdistrikter",5.6
"8",18,"Søvang","2017",1736,"Søvang",2691.5
"9",19,"Dragør","2017",12132,"Dragør",2570.3
"10",21,"Landdistrikter","2017",371,"Landdistrikter",28.8
"11",23,"Gentofte","2017",75805,"Gentofte",3168.6
"12",26,"Gladsaxe","2017",68767,"Gladsaxe",3182.6
"13",28,"Landdistrikter","2017",8,"Landdistrikter",2.4
"14",30,"Glostrup","2017",22449,"Glostrup",2657
"15",32,"Landdistrikter","2017",14,"Landdistrikter",2.9
"16",34,"Herlev","2017",28350,"Herlev",2890.8
"17",36,"Landdistrikter","2017",19,"Landdistrikter",8.4
"18",38,"Albertslund","2017",27709,"Albertslund",2679
"19",40,"Landdistrikter","2017",125,"Landdistrikter",9.7
"20",42,"Hvidovre","2017",52818,"Hvidovre",2820.4
"21",46,"Hedehusene","2017",11943,"Hedehusene",1812.3
"22",47,"Reerslev","2017",641,"Reerslev",1269.3
"23",48,"Taastrup","2017",34154,"Taastrup",2552.8
"24",49,"Sengeløse","2017",1538,"Sengeløse",1720.4
"25",50,"Vridsløsemagle","2017",281,"Vridsløsemagle",821.6
"26",52,"Landdistrikter","2017",1528,"Landdistrikter",27
"27",54,"Lyngby-Taarbæk","2017",54759,"Lyngby-Taarbæk",2974.7
"28",57,"Landdistrikter","2017",171,"Landdistrikter",8.4
"29",59,"Rødovre","2017",38358,"Rødovre",3416.9
"30",63,"Ishøj","2017",20712,"Ishøj",3774.1
"31",64,"Torslunde","2017",312,"Torslunde",1437.8
"32",65,"Ishøj","2017",1083,"Ishøj",1547.1
"33",68,"Landdistrikter","2017",511,"Landdistrikter",25.5
"34",70,"Tårnby","2017",42543,"Tårnby",3104.4
"35",72,"Landdistrikter","2017",310,"Landdistrikter",5.9
"36",74,"Vallensbæk","2017",15157,"Vallensbæk",3716.8
"37",75,"Vallensbæk","2017",446,"Vallensbæk",1722
"38",77,"Landdistrikter","2017",66,"Landdistrikter",12.8
"39",79,"Furesø","2017",3776,"Furesø",2298.2
"40",80,"Kirke","2017",994,"Kirke",1595.5
"41",81,"Smørumnedre","2017",1156,"Smørumnedre",2214.6
"42",82,"Farum","2017",19967,"Farum",2598.9
"43",83,"Birkerød","2017",6,"Birkerød",461.5
"44",84,"Værløse","2017",13127,"Værløse",2582.5
"45",85,"Laanshøj","2017",617,"Laanshøj",2856.5
"46",87,"Landdistrikter","2017",756,"Landdistrikter",18.4
"47",89,"Birkerød","2017",31,"Birkerød",911.8
"48",90,"Blovstrød","2017",2211,"Blovstrød",1714
"49",91,"Lynge","2017",4036,"Lynge",2246
"50",92,"Lillerød","2017",16793,"Lillerød",2259.9
"51",93,"Nymølle","2017",374,"Nymølle",309.6
"52",95,"Landdistrikter","2017",1455,"Landdistrikter",26.1
"53",97,"Humlebæk","2017",9587,"Humlebæk",2306.8
"54",98,"Nivå","2017",8024,"Nivå",2952.2
"55",99,"Helsingør","2017",91,"Helsingør",2116.3
"56",101,"Hørsholm","2017",10115,"Hørsholm",2571.8
"57",102,"Hillerød","2017",8,"Hillerød",1000
"58",103,"Sørup","2017",555,"Sørup",1512.3
"59",104,"Karlebo","2017",214,"Karlebo",761.6
"60",105,"Fredensborg","2017",8519,"Fredensborg",1817.6
"61",108,"Landdistrikter","2017",3279,"Landdistrikter",34.2
"62",110,"Kvistgård","2017",1162,"Kvistgård",690.4
"63",111,"Hornbæk-Dronningmølle","2017",3571,"Hornbæk-Dronningmølle",912.8
"64",112,"Hellebæk","2017",5530,"Hellebæk",2210.2
"65",113,"Tikøb","2017",709,"Tikøb",1696.2
"66",114,"Gurre","2017",418,"Gurre",1050.3
