"","Area_ID","Area_name.x","year","pop","pop_density"
"1","000-01100","Hovedstadsområdet","2017",0,0
"2","101-00101","Københavns Kommune","2017",0,0
"3","101-01100","København (del af Hovedstadsområdet)","2017",602481,7855.2
"4","101-99999","Landdistrikter","2017",0,0
"5","147-00147","Frederiksberg Kommune","2017",0,0
"6","147-01100","Frederiksberg (del af Hovedstadsområdet)","2017",105037,12063.5
"7","147-99999","Landdistrikter","2017",0,0
"8","151-00151","Ballerup Kommune","2017",0,0
"9","151-01100","Ballerup (del af Hovedstadsområdet)","2017",39019,2486.1
"10","151-10223","Smørumnedre (del af flere kommuner)","2017",8925,2345.6
"11","151-99997","Uden fast bopæl","2017",57,0
"12","151-99999","Landdistrikter","2017",230,15.9
"13","153-00153","Brøndby Kommune","2017",0,0
"14","153-01100","Brøndby (del af Hovedstadsområdet)","2017",35367,2696.1
"15","153-99997","Uden fast bopæl","2017",183,0
"16","153-99999","Landdistrikter","2017",44,5.6
"17","155-00155","Dragør Kommune","2017",0,0
"18","155-10277","Søvang","2017",1736,2691.5
"19","155-10278","Dragør","2017",12132,2570.3
"20","155-99997","Uden fast bopæl","2017",49,0
"21","155-99999","Landdistrikter","2017",371,28.8
"22","157-00157","Gentofte Kommune","2017",0,0
"23","157-01100","Gentofte (del af Hovedstadsområdet)","2017",75805,3168.6
"24","157-99999","Landdistrikter","2017",0,0
"25","159-00159","Gladsaxe Kommune","2017",0,0
"26","159-01100","Gladsaxe (del af Hovedstadsområdet)","2017",68767,3182.6
"27","159-99997","Uden fast bopæl","2017",0,0
"28","159-99999","Landdistrikter","2017",8,2.4
"29","161-00161","Glostrup Kommune","2017",0,0
"30","161-01100","Glostrup (del af Hovedstadsområdet)","2017",22449,2657
"31","161-99997","Uden fast bopæl","2017",65,0
"32","161-99999","Landdistrikter","2017",14,2.9
"33","163-00163","Herlev Kommune","2017",0,0
"34","163-01100","Herlev (del af Hovedstadsområdet)","2017",28350,2890.8
"35","163-99997","Uden fast bopæl","2017",37,0
"36","163-99999","Landdistrikter","2017",19,8.4
"37","165-00165","Albertslund Kommune","2017",0,0
"38","165-01100","Albertslund (del af Hovedstadsområdet)","2017",27709,2679
"39","165-99997","Uden fast bopæl","2017",62,0
"40","165-99999","Landdistrikter","2017",125,9.7
"41","167-00167","Hvidovre Kommune","2017",0,0
"42","167-01100","Hvidovre (del af Hovedstadsområdet)","2017",52818,2820.4
"43","167-99997","Uden fast bopæl","2017",146,0
"44","167-99999","Landdistrikter","2017",0,0
"45","169-00169","Høje-Taastrup Kommune","2017",0,0
"46","169-10201","Hedehusene","2017",11943,1812.3
"47","169-10202","Reerslev","2017",641,1269.3
"48","169-10203","Taastrup","2017",34154,2552.8
"49","169-18394","Sengeløse","2017",1538,1720.4
"50","169-18395","Vridsløsemagle","2017",281,821.6
"51","169-99997","Uden fast bopæl","2017",161,0
"52","169-99999","Landdistrikter","2017",1528,27
"53","173-00173","Lyngby-Taarbæk Kommune","2017",0,0
"54","173-01100","Lyngby-Taarbæk (del af Hovedstadsområdet)","2017",54759,2974.7
"55","173-10287","Skodsborg","2017",0,0
"56","173-99997","Uden fast bopæl","2017",310,0
"57","173-99999","Landdistrikter","2017",171,8.4
"58","175-00175","Rødovre Kommune","2017",0,0
"59","175-01100","Rødovre (del af Hovedstadsområdet)","2017",38358,3416.9
"60","175-99997","Uden fast bopæl","2017",134,0
"61","175-99999","Landdistrikter","2017",0,0
"62","183-00183","Ishøj Kommune","2017",0,0
"63","183-01100","Ishøj (del af Hovedstadsområdet)","2017",20712,3774.1
"64","183-15889","Torslunde","2017",312,1437.8
"65","183-18390","Ishøj Landsby","2017",1083,1547.1
"66","183-18597","Vestervang","2017",0,0
"67","183-99997","Uden fast bopæl","2017",101,0
"68","183-99999","Landdistrikter","2017",511,25.5
"69","185-00185","Tårnby Kommune","2017",0,0
"70","185-01100","Tårnby (del af Hovedstadsområdet)","2017",42543,3104.4
"71","185-99997","Uden fast bopæl","2017",157,0
"72","185-99999","Landdistrikter","2017",310,5.9
"73","187-00187","Vallensbæk Kommune","2017",0,0
"74","187-01100","Vallensbæk (del af Hovedstadsområdet)","2017",15157,3716.8
"75","187-18391","Vallensbæk Landsby","2017",446,1722
"76","187-99997","Uden fast bopæl","2017",36,0
"77","187-99999","Landdistrikter","2017",66,12.8
"78","190-00190","Furesø Kommune","2017",0,0
"79","190-01100","Furesø (del af Hovedstadsområdet)","2017",3776,2298.2
"80","190-10221","Kirke Værløse","2017",994,1595.5
"81","190-10223","Smørumnedre (del af flere kommuner)","2017",1156,2214.6
"82","190-10237","Farum","2017",19967,2598.9
"83","190-10241","Birkerød (del af flere kommuner)","2017",6,461.5
"84","190-11048","Værløse","2017",13127,2582.5
"85","190-18839","Laanshøj","2017",617,2856.5
"86","190-99997","Uden fast bopæl","2017",214,0
"87","190-99999","Landdistrikter","2017",756,18.4
"88","201-00201","Allerød Kommune","2017",0,0
"89","201-10241","Birkerød (del af flere kommuner)","2017",31,911.8
"90","201-10300","Blovstrød","2017",2211,1714
"91","201-10693","Lynge","2017",4036,2246
"92","201-10829","Lillerød","2017",16793,2259.9
"93","201-12871","Nymølle","2017",374,309.6
"94","201-99997","Uden fast bopæl","2017",42,0
"95","201-99999","Landdistrikter","2017",1455,26.1
"96","210-00210","Fredensborg Kommune","2017",0,0
"97","210-10006","Humlebæk","2017",9587,2306.8
"98","210-10008","Nivå","2017",8024,2952.2
"99","210-10172","Helsingør (del af flere kommuner)","2017",91,2116.3
"100","210-10194","Espergærde (del af flere kommuner)","2017",0,0
"101","210-10303","Hørsholm (del af flere kommuner)","2017",10115,2571.8
"102","210-10652","Hillerød (del af flere kommuner)","2017",8,1000
"103","210-10703","Sørup","2017",555,1512.3
"104","210-16469","Karlebo","2017",214,761.6
"105","210-18410","Fredensborg","2017",8519,1817.6
