,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
0,Aalborg,Aalborg Kommune,Region Nordjylland,2021,19900.0,23400.0,0.321736412650166,15.495270390070914,0.8437491761414722,0.8403524191010694,23.3778125,1.0,662.0,119219.0,2363.2,46.0,154.0,1538.8478260869565,3689.8555465094128
1,Aarhus,Aarhus Kommune,Region Midtjylland,2021,28300.0,33300.0,0.2775210775799678,17.253268321513,0.7503886932022223,0.7449623604457489,24.052534722222223,1.0,1472.0,282910.0,2878.2,100.0,378.0,1157.33,1291.039140273126
2,København,Københavns Kommune,Region Hovedstaden,2021,121400.0,142800.0,0.2142388551165143,20.138092494089832,0.5616694347773892,0.5521405094464629,25.38694444444444,1.0,1872.0,638117.0,8307.1,264.0,1490.0,389.8030303030303,358.66933921890427
3,Ejby,Glostrup Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,,88.0,,,12.0,42.0,761.3333333333334,849.2987838460764
4,Nyhavn,Københavns Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,,1872.0,,,264.0,1490.0,389.8030303030303,358.66933921890427
5,Lejre,Lejre Kommune,Region Sjælland,2021,4000.0,4700.0,0.3995553354320447,21.604175531914883,0.5559857653633344,0.5463332820016678,31.39328125,1.0,214.0,2834.0,1618.5,3.0,14.0,9815.333333333334,3438.030007625491
6,Skodsborg,Rudersdal Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,,805.0,1244.0,3165.4,19.0,90.0,928.2631578947368,858.7750217674568
7,Brøndby Strand,Brøndby Kommune,Region Hovedstaden,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,89.0,,,4.0,13.0,1277.0,273.4044622898463
8,Trørød,Rudersdal Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,,805.0,0.0,0.0,19.0,90.0,928.2631578947368,858.7750217674568
9,Nærum,Rudersdal Kommune,Region Hovedstaden,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,805.0,,,19.0,90.0,928.2631578947368,858.7750217674568
10,Smørumnedre,Egedal Kommune,Region Hovedstaden,2021,1500.0,1800.0,,,,,,,263.0,10149.0,2722.4,7.0,36.0,1331.428571428571,1530.6791365428676
11,Nordby,Fanø Kommune,Region Syddanmark,2021,1000.0,1000.0,,,,,,,11.0,2754.0,1862.1,1.0,4.0,,
12,Frederiksberg,Sorø Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,104.0,3804.0,1950.8,7.0,24.0,7641.0,8621.7850239959
13,Frederiksberg,Frederiksberg Kommune,Region Hovedstaden,2021,10300.0,12100.0,0.1021762375162829,17.107932180851055,0.2169458613593267,0.1999229453019206,19.61125,0.0,352.0,103677.0,11907.3,48.0,288.0,340.5,250.4096218666612
14,Kolding,Kolding Kommune,Region Syddanmark,2021,9400.0,11100.0,0.3308329262556082,15.819992612293134,0.8086146057797354,0.8044540537314688,23.925399305555555,1.0,347.0,61222.0,1605.8,20.0,71.0,1800.7,2520.9529756152056
15,Kongens Lyngby,Lyngby-Taarbæk Kommune,Region Hovedstaden,2021,2600.0,3100.0,,,,,,,469.0,,,17.0,112.0,658.1176470588235,599.3659026789209
16,Middelfart,Middelfart Kommune,Region Syddanmark,2021,5400.0,6400.0,0.2574209816905481,17.882474143026002,0.5445931715544199,0.5346930231099507,24.18928819444444,1.0,189.0,15986.0,1492.1,22.0,82.0,1554.590909090909,2477.6955625875025
17,Ejby,Glostrup Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,88.0,,,12.0,42.0,761.3333333333334,849.2987838460764
18,Odder,Odder Kommune,Region Midtjylland,2021,1800.0,2200.0,,,,,,,101.0,12397.0,1842.3,4.0,14.0,538.25,79.69682135024793
19,Odense,Odense Kommune,Region Syddanmark,2021,29100.0,34300.0,0.3284830927051666,15.752320478723398,0.8509332918073456,0.8476927111944618,23.80015625,1.0,556.0,180760.0,2281.9,46.0,214.0,887.8260869565217,902.159983455702
20,Randers,Randers Kommune,Region Midtjylland,2021,10300.0,12200.0,0.2873320578231289,12.780659722222222,0.8674223809043028,0.8645402587500485,19.820295138888888,1.0,305.0,62623.0,1934.1,22.0,104.0,2099.0,2429.5312501052736
21,Roskilde,Roskilde Kommune,Region Sjælland,2021,6600.0,7700.0,0.228388062671877,16.697061908983443,0.4072839706530318,0.3943988395802715,22.29256944444444,1.0,569.0,51793.0,2442.6,20.0,79.0,1348.25,2523.0317784885624
22,Hundige,Greve Kommune,Region Sjælland,2021,1500.0,1800.0,,,,,,,332.0,,,9.0,43.0,1748.888888888889,1664.1024941724927
23,Veddelev,Roskilde Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,569.0,1148.0,1962.4,20.0,79.0,1348.25,2523.0317784885624
24,Bjæverskov,Køge Kommune,Region Sjælland,2021,1000.0,1100.0,0.2277422112462,28.493388741134744,0.2423642437026755,0.2258939011744727,34.07307291666667,0.0,337.0,3014.0,1578.8,15.0,109.0,1276.1333333333334,2353.910207859821
25,Strøby Egede,Stevns Kommune,Region Sjælland,2021,1000.0,1200.0,,,,,,,140.0,4578.0,1465.9,4.0,7.0,4594.5,3077.9397330032307
26,Hvalsø,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,214.0,,,3.0,14.0,9815.333333333334,3438.030007625491
27,Hvalsø,Lejre Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,214.0,,,3.0,14.0,9815.333333333334,3438.030007625491
28,Herfølge,Køge Kommune,Region Sjælland,2021,1000.0,1100.0,,,,,,,337.0,,,15.0,109.0,1276.1333333333334,2353.910207859821
29,Lellinge,Køge Kommune,Region Sjælland,2021,1000.0,1000.0,,,,,,,337.0,699.0,1730.2,15.0,109.0,1276.1333333333334,2353.910207859821
30,Hårlev,Stevns Kommune,Region Sjælland,2021,1000.0,1000.0,0.0,0.0,,,0.0,0.0,140.0,2780.0,1399.8,4.0,7.0,4594.5,3077.9397330032307
