,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
0,Aalborg,Aalborg Kommune,Region Nordjylland,2021,19900.0,23400.0,0.321736412650166,15.495270390070914,0.8437491761414722,0.8403524191010694,23.3778125,1.0,662.0,119219.0,2363.2,46.0,154.0,1538.8478260869565,3689.8555465094128
1,Aarhus,Aarhus Kommune,Region Midtjylland,2021,28300.0,33300.0,0.2775210775799678,17.253268321513,0.7503886932022223,0.7449623604457489,24.052534722222223,1.0,1472.0,282910.0,2878.2,100.0,378.0,1157.33,1291.039140273126
2,København,Københavns Kommune,Region Hovedstaden,2021,121400.0,142800.0,0.2142388551165143,20.138092494089832,0.5616694347773892,0.5521405094464629,25.38694444444444,1.0,1872.0,638117.0,8307.1,264.0,1490.0,389.8030303030303,358.66933921890427
5,Lejre,Lejre Kommune,Region Sjælland,2021,4000.0,4700.0,0.3995553354320447,21.604175531914883,0.5559857653633344,0.5463332820016678,31.39328125,1.0,214.0,2834.0,1618.5,3.0,14.0,9815.333333333334,3438.030007625491
13,Frederiksberg,Frederiksberg Kommune,Region Hovedstaden,2021,10300.0,12100.0,0.1021762375162829,17.107932180851055,0.2169458613593267,0.1999229453019206,19.61125,0.0,352.0,103677.0,11907.3,48.0,288.0,340.5,250.4096218666612
14,Kolding,Kolding Kommune,Region Syddanmark,2021,9400.0,11100.0,0.3308329262556082,15.819992612293134,0.8086146057797354,0.8044540537314688,23.925399305555555,1.0,347.0,61222.0,1605.8,20.0,71.0,1800.7,2520.9529756152056
16,Middelfart,Middelfart Kommune,Region Syddanmark,2021,5400.0,6400.0,0.2574209816905481,17.882474143026002,0.5445931715544199,0.5346930231099507,24.18928819444444,1.0,189.0,15986.0,1492.1,22.0,82.0,1554.590909090909,2477.6955625875025
19,Odense,Odense Kommune,Region Syddanmark,2021,29100.0,34300.0,0.3284830927051666,15.752320478723398,0.8509332918073456,0.8476927111944618,23.80015625,1.0,556.0,180760.0,2281.9,46.0,214.0,887.8260869565217,902.159983455702
20,Randers,Randers Kommune,Region Midtjylland,2021,10300.0,12200.0,0.2873320578231289,12.780659722222222,0.8674223809043028,0.8645402587500485,19.820295138888888,1.0,305.0,62623.0,1934.1,22.0,104.0,2099.0,2429.5312501052736
21,Roskilde,Roskilde Kommune,Region Sjælland,2021,6600.0,7700.0,0.228388062671877,16.697061908983443,0.4072839706530318,0.3943988395802715,22.29256944444444,1.0,569.0,51793.0,2442.6,20.0,79.0,1348.25,2523.0317784885624
24,Bjæverskov,Køge Kommune,Region Sjælland,2021,1000.0,1100.0,0.2277422112462,28.493388741134744,0.2423642437026755,0.2258939011744727,34.07307291666667,0.0,337.0,3014.0,1578.8,15.0,109.0,1276.1333333333334,2353.910207859821
42,Silkeborg,Silkeborg Kommune,Region Midtjylland,2021,7100.0,8300.0,0.3567908253727017,16.171975472813237,0.8476346048256174,0.8443223136261743,24.913350694444446,1.0,403.0,48369.0,1684.5,40.0,105.0,1775.35,2555.602217652777
43,Skive,Skive Kommune,Region Midtjylland,2021,6400.0,7600.0,0.3043148881893179,12.799649822695033,0.838827487935963,0.8353237376737013,20.25536458333333,1.0,96.0,20401.0,1371.9,6.0,22.0,1208.6666666666667,1357.2462807709833
44,Slagelse,Slagelse Kommune,Region Sjælland,2021,5800.0,6900.0,0.3278606708640899,16.184809397163118,0.543664336303137,0.5337439957879878,24.217395833333335,1.0,232.0,34118.0,2098.4,21.0,97.0,758.6190476190476,1315.6603846050268
45,Svendborg,Svendborg Kommune,Region Syddanmark,2021,4300.0,5000.0,0.3395963598205237,10.017840573286042,0.8409920031170501,0.8375353075326382,18.33795138888889,1.0,266.0,27054.0,1983.1,22.0,56.0,1490.6818181818182,2431.597033234461
46,Sønderborg,Sønderborg Kommune,Region Syddanmark,2021,4200.0,4900.0,0.2129225919091038,20.602858303782497,0.4897484635536823,0.4786560388483275,25.81946180555556,1.0,263.0,27702.0,2073.5,38.0,142.0,2225.7631578947367,4518.809993040266
47,Gråsten,Sønderborg Kommune,Region Syddanmark,2021,1000.0,1100.0,0.3075096341728177,22.44488549054373,0.4567531096143126,0.444943394605928,29.97887152777778,1.0,263.0,4228.0,1235.2,38.0,142.0,2225.7631578947367,4518.809993040266
48,Taastrup,Høje-Taastrup Kommune,Region Hovedstaden,2021,5100.0,6000.0,0.0731020679548414,18.953843085106374,0.0639397116863998,0.0435905749839302,20.74484375,0.0,166.0,34698.0,2590.4,18.0,102.0,593.0,445.4825539595832
50,Vejle,Vejle Kommune,Region Syddanmark,2021,8100.0,9600.0,0.3012193334780716,17.96970966312056,0.753638056415298,0.7482823619895436,25.34958333333334,1.0,500.0,58777.0,1763.6,43.0,155.0,1853.441860465116,2412.2792847698606
64,Ballerup,Ballerup Kommune,Region Hovedstaden,2021,5200.0,6100.0,0.3931729447097984,15.76073507683215,0.8666705760981195,0.863772110361122,25.393472222222226,1.0,194.0,40221.0,2562.7,17.0,81.0,843.1764705882352,740.9448558508013
65,Haderslev,Haderslev Kommune,Region Syddanmark,2021,4000.0,4700.0,0.3605260348820375,14.235098256501178,0.7411778163486991,0.7355512471388881,23.06798611111111,1.0,138.0,22032.0,1817.7,17.0,54.0,3619.058823529412,4518.725061765048
66,Herning,Herning Kommune,Region Midtjylland,2021,7600.0,8900.0,0.1936684035316251,12.114360224586283,0.4696766767108021,0.4581479088132109,16.859236111111112,1.0,264.0,50531.0,1542.9,17.0,63.0,4295.470588235294,4539.9440266049405
69,Brovst,Jammerbugt Kommune,Region Nordjylland,2021,1000.0,1200.0,0.0986778567810101,18.650152925531906,0.140494692137277,0.1218097941402612,21.067760416666665,0.0,108.0,2696.0,1148.2,18.0,47.0,2238.4444444444443,2883.752482285012
70,Brøndby,Brøndby Kommune,Region Hovedstaden,2021,5400.0,6300.0,0.1718578122738455,16.467955821513,0.5385997804445131,0.5285693408889589,20.678472222222226,1.0,89.0,34984.0,2666.7,4.0,13.0,1277.0,273.4044622898463
