,Municipality,City,Region,old
230,Esbjerg Kommune,Andrup,Region Syddanmark,Agedrup
374,Frederikssund Kommune,Vellerup,Region Hovedstaden,Ballerup
713,Horsens Kommune,Brædstrup,Region Midtjylland,Braedstrup
181,Brønderslev Kommune,Brønderslev,Region Nordjylland,Bronderslev
978,Middelfart Kommune,Føns,Region Syddanmark,Fanø
434,Gribskov Kommune,Græsted,Region Hovedstaden,Graested
374,Frederikssund Kommune,Vellerup,Region Hovedstaden,Hellerup
292,Favrskov Kommune,Hvorslev,Region Midtjylland,Hojslev
1370,Skive Kommune,Roslev,Region Midtjylland,Hojslev
1381,Skive Kommune,Højslev,Region Midtjylland,Hojslev
808,Kalundborg Kommune,Høng,Region Sjælland,Hong
1775,Vordingborg Kommune,Køng,Region Sjælland,Hong
299,Favrskov Kommune,Hadbjerg,Region Midtjylland,Højbjerg
1378,Skive Kommune,Rønbjerg,Region Midtjylland,Højbjerg
443,Gribskov Kommune,Kagerup,Region Hovedstaden,Kastrup
725,Høje-Taastrup Kommune,Taastrup,Region Hovedstaden,Kastrup
1163,Randers Kommune,Langå,Region Midtjylland,Langaa
1707,Vesthimmerlands Kommune,Løgstør,Region Nordjylland,Logstor
105,Allerød Kommune,Lynge,Region Hovedstaden,Lyngby
387,Frederikssund Kommune,Kyndby,Region Hovedstaden,Lyngby
1155,Skanderborg Kommune,Hørning,Region Midtjylland,Løsning
92,Aarhus Kommune,Mårslet,Region Midtjylland,Marslet
1210,Rebild Kommune,Nørager,Region Nordjylland,Norager
469,Guldborgsund Kommune,Nørre Alslev,Region Sjælland,Norre Alslev
39,Aalborg Kommune,Nørresundby,Region Nordjylland,Norresundby
398,Furesø Kommune,Farum,Region Hovedstaden,Nærum
420,Gribskov Kommune,Esrum,Region Hovedstaden,Nærum
421,Gribskov Kommune,Mårum,Region Hovedstaden,Nærum
701,Horsens Kommune,Vestbirk,Region Midtjylland,Ostbirk
706,Horsens Kommune,Østbirk,Region Midtjylland,Ostbirk
1231,Ringkøbing-Skjern Kommune,Ringkøbing,Region Midtjylland,Ringkobing
1497,Syddjurs Kommune,Rodskov,Region Midtjylland,Risskov
453,Guldborgsund Kommune,Sakskøbing,Region Sjælland,Sakskobing
83,Aarhus Kommune,Studstrup,Region Midtjylland,Skødstrup
274,Fanø Kommune,Sønderho,Region Syddanmark,Sonderso
1031,Nordfyns Kommune,Søndersø,Region Syddanmark,Sonderso
1162,Randers Kommune,Spentrup,Region Midtjylland,Spøttrup
466,Guldborgsund Kommune,Stubbekøbing,Region Sjælland,Stubbekobing
1184,Randers Kommune,Tvede,Region Midtjylland,Tjele
1358,Skanderborg Kommune,Sjelle,Region Midtjylland,Tjele
295,Favrskov Kommune,Norring,Region Midtjylland,Torring
541,Hedensted Kommune,Tørring,Region Midtjylland,Torring
545,Hedensted Kommune,Korning,Region Midtjylland,Torring
574,Herning Kommune,Timring,Region Midtjylland,Torring
738,Ikast-Brande Kommune,Bording,Region Midtjylland,Torring
1093,Odder Kommune,Torrild,Region Midtjylland,Torring
1325,Silkeborg Kommune,Sorring,Region Midtjylland,Torring
1329,Silkeborg Kommune,Thorning,Region Midtjylland,Torring
1348,Skanderborg Kommune,Virring,Region Midtjylland,Torring
1352,Skanderborg Kommune,Storring,Region Midtjylland,Torring
89,Aarhus Kommune,Tranbjerg,Region Midtjylland,Tranbjerg J
476,Guldborgsund Kommune,Toreby,Region Sjælland,Tureby
1279,Roskilde Kommune,Veddelev,Region Sjælland,Vemmelev
570,Herning Kommune,Vind,Region Midtjylland,Viby
655,Holbæk Kommune,Udby,Region Sjælland,Viby
798,Kalundborg Kommune,Ubby,Region Sjælland,Viby
805,Kalundborg Kommune,Sæby,Region Sjælland,Viby
810,Kalundborg Kommune,Årby,Region Sjælland,Viby
851,Glostrup Kommune,Ejby,Region Sjælland,Viby
877,Lejre Kommune,Sæby,Region Sjælland,Viby
1128,Odsherred Kommune,Vig,Region Sjælland,Viby
1266,Roskilde Kommune,Viby,Region Sjælland,Viby
1506,Syddjurs Kommune,Søby,Region Midtjylland,Viby
1780,Vordingborg Kommune,Udby,Region Sjælland,Viby
1245,Ringkøbing-Skjern Kommune,Videbæk,Region Midtjylland,Videbaek
398,Furesø Kommune,Farum,Region Hovedstaden,Virum
420,Gribskov Kommune,Esrum,Region Hovedstaden,Virum
421,Gribskov Kommune,Mårum,Region Hovedstaden,Virum
