,City,Region
54,Astrup,Region Nordjylland
62,Balle,Region Midtjylland
77,Billund,Region Syddanmark
82,Birkerød,Region Hovedstaden
87,Bjergby,Region Nordjylland
122,Bredbjerg,Region Syddanmark
126,Bregninge,Region Syddanmark
202,Egsmark,Region Midtjylland
204,Ejby,Region Sjælland
227,Espergærde,Region Hovedstaden
324,Gelsted,Region Syddanmark
412,Hald,Region Midtjylland
423,Handbjerg,Region Midtjylland
438,Havdrup,Region Sjælland
445,Havnsø,Region Sjælland
458,Helsingør,Region Hovedstaden
476,Hillerød,Region Hovedstaden
505,Hornbæk-Dronningmølle,Region Hovedstaden
507,Horne,Region Syddanmark
540,Hvidbjerg,Region Midtjylland
566,Hørby,Region Nordjylland
569,Hørning,Region Midtjylland
570,Hørsholm,Region Hovedstaden
671,Kragelund,Region Midtjylland
714,Laven,Region Midtjylland
718,Lem,Region Midtjylland
724,Lille Skensved,Region Sjælland
728,Linde,Region Midtjylland
746,Lunde,Region Syddanmark
788,Mejlby,Region Midtjylland
790,Melby,Region Hovedstaden
861,Nyrup,Region Sjælland
904,Oksbøl,Region Syddanmark
993,Rødding,Region Midtjylland
1042,Sinding,Region Midtjylland
1051,Skallebølle,Region Syddanmark
1074,Skodsborg,Region Hovedstaden
1087,Skærbæk,Region Syddanmark
1099,Smørumnedre,Region Hovedstaden
1166,Strandby,Region Nordjylland
1183,Sundby,Region Nordjylland
1197,Svinninge,Region Sjælland
1202,Sæby,Region Sjælland
1308,Trørød,Region Hovedstaden
1332,Udby,Region Sjælland
1342,Ugerløse,Region Sjælland
1381,Vedskølle,Region Sjælland
1389,Vejle,Region Syddanmark
1411,Vester Nebel,Region Syddanmark
1463,Voldby,Region Midtjylland
1519,Ørslev,Region Sjælland
1523,Ørum,Region Midtjylland
