,municipality,up_until_year,count_of_stations,plugs,closest_in_meters,closest_in_meters_std
0,Aabenraa,2013,1,3,,
1,Aalborg,2013,5,11,1114.4,1159.1435631534173
2,Aarhus,2013,1,4,,
3,Ballerup,2013,1,2,,
4,Billund,2013,1,4,,
5,Esbjerg,2013,6,25,19661.833333333332,46691.27697297073
6,Faxe,2013,2,4,7756.0,837.2144289248723
7,Fredericia,2013,2,7,823.5,897.3185053257288
8,Frederiksberg,2013,2,10,172.5,94.04520189781083
9,Frederikshavn,2013,1,2,,
10,Glostrup,2013,1,3,,
11,Greve,2013,1,3,,
12,Guldborgsund,2013,2,5,1189.5,934.0880579474293
13,Haderslev,2013,1,3,,
14,Herning,2013,1,4,,
15,Hillerød,2013,2,6,870.0,9.899494936611665
16,Hjørring,2013,1,2,,
17,Holbæk,2013,1,2,,
18,Holstebro,2013,1,3,,
19,Horsens,2013,2,6,1332.5,1532.3003948312485
20,Høje Taastrup,2013,1,3,,
21,Ishøj,2013,1,3,,
22,Kalundborg,2013,1,3,,
23,Kolding,2013,2,8,914.0,707.1067811865476
24,København,2013,12,105,381.3333333333333,383.1895646077049
25,Køge,2013,3,13,1290.0,945.7901458568914
26,Lolland,2013,1,2,,
27,Lyngby-Taarbæk,2013,4,18,344.75,92.25462951346488
28,Næstved,2013,2,15,544.0,72.12489168102785
29,Odense,2013,3,19,701.3333333333334,21.36195996001616
30,Randers,2013,1,3,,
31,Ringsted,2013,2,5,115.0,39.59797974644666
32,Roskilde,2013,2,5,439.0,343.6538956566621
33,Rudersdal,2013,2,3,155.0,0.0
34,Silkeborg,2013,1,1,,
35,Skive,2013,2,5,444.5,43.1335136523794
36,Slagelse,2013,5,16,313.4,325.455526915737
37,Sorø,2013,1,2,,
38,Svendborg,2013,1,5,,
39,Sønderborg,2013,3,9,1903.0,2337.9480319288537
40,Thisted,2013,1,1,,
41,Tårnby,2013,1,1,,
42,Tønder,2013,1,2,,
43,Varde,2013,1,2,,
44,Vejle,2013,3,8,350.6666666666667,236.34790740206128
45,Viborg,2013,1,3,,
46,Vordingborg,2013,2,6,3761.5,2755.595126283976
47,Aabenraa,2014,3,37,291.0,294.92880496824995
48,Aalborg,2014,7,20,917.7142857142857,1004.936600701045
49,Aarhus,2014,6,22,595.1666666666666,352.7993291754771
50,Assens,2014,2,9,3616.5,1182.989644925094
51,Ballerup,2014,2,10,813.0,681.6509370638319
52,Billund,2014,3,12,828.3333333333334,310.53233862728905
53,Esbjerg,2014,7,27,17939.85714285714,42865.90566494764
54,Favrskov,2014,1,1,,
55,Faxe,2014,2,4,7756.0,837.2144289248723
56,Fredericia,2014,2,7,823.5,897.3185053257288
57,Frederiksberg,2014,4,18,253.5,108.42662649613948
58,Frederikshavn,2014,2,8,7261.0,9709.990319253671
59,Frederikssund,2014,1,2,,
60,Gentofte,2014,1,2,,
61,Glostrup,2014,3,11,380.6666666666667,314.71468560163083
62,Greve,2014,3,15,1572.0,2070.6841864465955
63,Gribskov,2014,1,4,,
64,Guldborgsund,2014,2,5,1189.5,934.0880579474293
65,Haderslev,2014,2,7,1046.0,609.526045382804
66,Helsingør,2014,1,2,,
67,Herlev,2014,2,10,958.5,14.849242404917497
68,Herning,2014,2,10,1322.0,309.7127701597078
69,Hillerød,2014,4,10,481.5,450.41795405304765
70,Hjørring,2014,4,38,980.75,989.0960098325473
71,Holbæk,2014,3,8,2495.6666666666665,3821.5005342578897
72,Holstebro,2014,3,12,380.6666666666667,273.1159704838466
73,Horsens,2014,2,6,1332.5,1532.3003948312485
74,Høje Taastrup,2014,2,10,953.0,1055.003317530329
75,Hørsholm,2014,1,4,,
76,Ikast-Brande,2014,1,1,,
77,Ishøj,2014,2,5,1115.0,1282.691701072397
78,Kalundborg,2014,2,11,267.5,14.849242404917497
79,Kolding,2014,2,8,914.0,707.1067811865476
80,København,2014,34,236,304.5,252.12481877519366
81,Køge,2014,4,65,982.75,986.8922180258593
82,Lolland,2014,2,8,2036.0,166.87720036002523
83,Lyngby-Taarbæk,2014,5,24,353.6,82.3091732433269
84,Mariagerfjord,2014,1,1,,
85,Middelfart,2014,2,26,1094.5,1513.9156185203983
86,Morsø,2014,1,6,,
87,Norddjurs,2014,1,4,,
88,Nyborg,2014,1,12,,
89,Næstved,2014,2,15,544.0,72.12489168102785
90,Odense,2014,4,21,672.5,60.24671498651745
91,Randers,2014,3,33,1142.6666666666667,716.8419165571537
92,Rebild,2014,1,2,,
