,City id,City,Region,Region id,Lower bound,Upper bound
0,608447,"Aalborg, Denmark",North Denmark Region,851,19900,23400
1,608476,"Aarhus, Denmark",Central Denmark Region,4131,28300,33300
2,609672,København,Capital Region of Denmark,4133,121400,142800
3,609936,"Ejby, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
7,613812,"Nyhavn, København, Denmark",Capital Region of Denmark,4133,1000,1000
8,612791,"Lejre, Kobenhavn, Denmark",Zealand Region,4132,4000,4700
12,615258,"Skodsborg, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
13,611539,"Höje Taastrup, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
17,609554,"Brøndby Strand, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
26,616689,"Trørød, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
27,613423,"Nærum, Kobenhavn, Denmark",Capital Region of Denmark,4133,1000,1000
31,615428,"Smørumnedre, Kobenhavn, Denmark",Capital Region of Denmark,4133,1500,1800
35,613579,Nordby,Region of Southern Denmark,4134,1000,1000
36,610385,Frederiksberg,Zealand Region,4132,1000,1000
37,610386,"Frederiksberg, Frederiksberg, Denmark",Capital Region of Denmark,4133,10300,12100
38,612464,"Kolding, Denmark",Region of Southern Denmark,4134,9400,11100
39,612488,Kongens Lyngby,Capital Region of Denmark,4133,2600,3100
40,613272,"Middelfart, Denmark",Region of Southern Denmark,4134,5400,6400
41,609937,Ejby,Zealand Region,4132,1000,1000
45,613882,Odder,Central Denmark Region,4131,1800,2200
46,613891,"Odense, Denmark",Region of Southern Denmark,4134,29100,34300
47,614445,"Randers, Denmark",Central Denmark Region,4131,10300,12200
48,614743,"Roskilde, Denmark",Zealand Region,4132,6600,7700
49,611767,"Hundige, Roskilde, Denmark",Zealand Region,4132,1500,1800
50,616998,"Veddelev, Roskilde, Denmark",Zealand Region,4132,1000,1000
51,609138,"Bjæverskov, Roskilde, Denmark",Zealand Region,4132,1000,1100
55,616077,"Strøby Egede, Roskilde, Denmark",Zealand Region,4132,1000,1200
56,612268,"Kirke Hvalsø, Roskilde, Denmark",Zealand Region,4132,1000,1000
60,611319,"Herfølge, Roskilde, Denmark",Zealand Region,4132,1000,1100
64,612798,"Lellinge, Roskilde, Denmark",Zealand Region,4132,1000,1000
65,611125,"Hårlev, Roskilde, Denmark",Zealand Region,4132,1000,1000
74,617322,"Vindinge, Roskilde, Denmark",Zealand Region,4132,1000,1000
75,612120,"Karlslunde, Roskilde, Denmark",Zealand Region,4132,1200,1400
79,616200,"Svogerslev, Roskilde, Denmark",Zealand Region,4132,1000,1000
80,612269,"Kirke-Hyllinge, Roskilde, Denmark",Zealand Region,4132,1000,1000
84,611183,"Havdrup, Roskilde, Denmark",Zealand Region,4132,1000,1000
88,615539,"Solrød, Roskilde, Denmark",Zealand Region,4132,1000,1000
