,Unnamed: 0,City id,City,Region,Region id,Lower bound,Upper bound,Municipality
3,3,609936,Ejby,Region Hovedstaden,4133,1000,1000,
4,7,613812,Nyhavn,Region Hovedstaden,4133,1000,1000,
7,13,611539,Höje Taastrup,Region Hovedstaden,4133,1000,1000,
23,49,611767,Hundige,Region Sjælland,4132,1500,1800,
28,60,611319,Herfølge,Region Sjælland,4132,1000,1100,
34,80,612269,Kirke-Hyllinge,Region Sjælland,4132,1000,1000,
49,113,611540,Høje Tåstrup,Region Hovedstaden,4133,2400,2800,
51,115,609474,Bredballe,Region Syddanmark,4134,1600,1800,
57,121,610305,Flemming,Region Midtjylland,4131,1000,1000,
64,137,608971,Ballerup,Region Hovedstaden,4133,5200,6100,
71,144,609555,Brøndbyvester,Region Hovedstaden,4133,1600,1900,
117,202,615611,Sonder Galten,Region Midtjylland,4131,1100,1300,
128,213,613826,Nykjobing,Region Sjælland,4132,3200,3800,
135,223,616930,Værløse,Region Sjælland,4132,1000,1000,
136,224,612282,Kirke-Værløse,Region Hovedstaden,4133,1000,1000,
158,255,614284,Ovtrup,Region Syddanmark,4134,1000,1000,
170,273,609230,Blåvand,Region Syddanmark,4134,1000,1000,
171,277,611458,Hjerting,Region Syddanmark,4134,1000,1100,
173,279,611314,Henne Strand,Region Syddanmark,4134,1000,1000,
178,287,613243,Mejrup,Region Midtjylland,4131,1000,1000,
179,288,615712,Søndervig,Region Midtjylland,4131,1000,1000,
188,309,614598,Ringkjöbing,Region Midtjylland,4131,1000,1000,
192,319,616153,Svebölle,Region Sjælland,4132,1000,1000,
207,334,617208,Vester-Skerninge,Region Syddanmark,4134,1000,1000,
224,363,614258,Overlund,Region Midtjylland,4131,1100,1300,
248,396,616376,Tilst,Region Midtjylland,4131,1500,1800,
250,401,613829,Nykøbing Mors,Region Nordjylland,851,1400,1700,
255,406,611792,Hvalsø,Region Sjælland,4132,1000,1000,
265,416,610130,Fakse Ladeplads,Region Sjælland,4132,1000,1000,
307,458,611708,Hou Hals,Region Nordjylland,851,1000,1000,
308,459,611065,Håls,Region Nordjylland,851,1000,1000,
311,462,612328,Klampenborg,Region Hovedstaden,4133,1000,1000,
315,466,615450,Snekkersten,Region Hovedstaden,4133,1000,1000,
335,489,615898,Stenstrup,Region Sjælland,4132,1000,1000,
358,512,608665,Allinge,Region Hovedstaden,4133,1000,1000,
365,519,616417,Tisvildeleje,Region Hovedstaden,4133,1000,1000,
370,524,614700,Rømø Kirkeby,Region Syddanmark,4134,1000,1000,
380,534,610169,Fårup,Region Nordjylland,851,1000,1000,
