"Folketal den 1. i kvartalet efter område og tid"

" ","2021K4"
"Hele landet",5867412
"Region Hovedstaden",1866088
"København",643613
"Frederiksberg",103782
"Dragør",14616
"Tårnby",42664
"Albertslund",27411
"Ballerup",49259
"Brøndby",35501
"Gentofte",74270
"Gladsaxe",69135
"Glostrup",23543
"Herlev",28868
"Hvidovre",53277
"Høje-Taastrup",52702
"Ishøj",23131
"Lyngby-Taarbæk",57834
"Rødovre",41219
"Vallensbæk",16501
"Allerød",25882
"Egedal",44226
"Fredensborg",41152
"Frederikssund",45842
"Furesø",41360
"Gribskov",41228
"Halsnæs",31465
"Helsingør",63097
"Hillerød",52706
"Hørsholm",24751
"Rudersdal",57349
"Bornholm",39610
"Christiansø",94
"Region Sjælland",842681
"Greve",50701
"Køge",61706
"Lejre",28630
"Roskilde",89208
"Solrød",23597
"Faxe",37062
"Guldborgsund",60317
"Holbæk",72662
"Kalundborg",48430
"Lolland",40241
"Næstved",83650
"Odsherred",32960
"Ringsted",35133
"Slagelse",79644
"Sorø",29970
"Stevns",23393
"Vordingborg",45377
"Region Syddanmark",1226798
"Assens",40861
"Faaborg-Midtfyn",51788
"Kerteminde",24006
"Langeland",12320
"Middelfart",39520
"Nordfyns",29664
"Nyborg",32055
"Odense",205905
"Svendborg",59096
"Ærø",6012
"Billund",26581
"Esbjerg",115470
"Fanø",3436
"Fredericia",51536
"Haderslev",55351
"Kolding",93318
"Sønderborg",73685
"Tønder",36886
"Varde",49660
"Vejen",42689
"Vejle",118364
"Aabenraa",58595
"Region Midtjylland",1340121
"Favrskov",48746
"Hedensted",47047
"Horsens",93905
"Norddjurs",37022
"Odder",23206
"Randers",98776
"Samsø",3707
"Silkeborg",96779
"Skanderborg",63977
"Syddjurs",43629
"Aarhus",355458
"Herning",89196
"Holstebro",58513
"Ikast-Brande",41878
"Lemvig",19369
"Ringkøbing-Skjern",56195
"Skive",45097
"Struer",20795
"Viborg",96826
"Region Nordjylland",591724
"Brønderslev",36187
"Frederikshavn",58883
"Hjørring",63861
"Jammerbugt",38172
"Læsø",1795
"Mariagerfjord",41562
"Morsø",20055
"Rebild",30638
"Thisted",43115
"Vesthimmerlands",36342
"Aalborg",221114

