Column1;DST_name;City;Region;Municipality
54;Astrup;Astrup;Region Nordjylland;Hjørring Kommune
62;Balle;Balle;Region Midtjylland;Syddjurs Kommune
77;Billund;Billund;Region Syddanmark;Billund Kommune
82;Birkerød;Birkerød;Region Hovedstaden;Rudersdal Kommune
87;Bjergby;Bjergby;Region Nordjylland;Hjørring Kommune
122;Bredbjerg;Bredbjerg;Region Syddanmark;Nordfyns Kommune
126;Bregninge;Bregninge;Region Syddanmark;Svendborg Kommune
202;Egsmark;Egsmark;Region Midtjylland;Syddjurs Kommune
204;Ejby;Ejby;Region Sjælland;Glostrup Kommune
227;Espergærde;Espergærde;Region Hovedstaden;Helsingør Kommune
324;Gelsted;Gelsted;Region Syddanmark;Middelfart Kommune
412;Hald;Hald;Region Midtjylland;Skive Kommune
423;Handbjerg;Handbjerg;Region Midtjylland;Holstebro Kommune
438;Havdrup;Havdrup;Region Sjælland;Solrød Kommune
445;Havnsø;Havnsø;Region Sjælland;Kalundborg Kommune
458;Helsingør;Helsingør;Region Hovedstaden;Helsingør Kommune
476;Hillerød;Hillerød;Region Hovedstaden;Hillerød Kommune
505;Hornbæk-Dronningmølle;Hornbæk;Region Hovedstaden;Helsingør Kommune
505;Hornbæk-Dronningmølle;Dronningmølle;Region Hovedstaden;Gribskov Kommune
507;Horne;Horne;Region Syddanmark;Faaborg-Midtfyn Kommune
507;Horne;Horne;Region Syddanmark;Varde Kommune
540;Hvidbjerg;Hvidbjerg;Region Midtjylland;Struer Kommune
566;Hørby;Hørby;Region Nordjylland;Frederikshavn Kommune
566;Hørby;Hørby;Region Nordjylland;Mariagerfjord Kommune
569;Hørning;Hørning;Region Midtjylland;Skanderborg Kommune
570;Hørsholm;Hørsholm;Region Hovedstaden;Hørsholm Kommune
671;Kragelund;Kragelund;Region Midtjylland;Silkeborg Kommune
713;Laven;Laven;Region Midtjylland;Silkeborg Kommune
717;Lem;Lem;Region Midtjylland;Ringkøbing-Skjern Kommune
723;Lille Skensved;Lille Skensved;Region Sjælland;Køge Kommune
727;Linde;Linde;Region Midtjylland;Struer Kommune
745;Lunde;Lunde;Region Syddanmark;Varde Kommune
787;Mejlby;Mejlby;Region Midtjylland;Aarhus Kommune
787;Mejlby;Mejlby;Region Midtjylland;Randers Kommune
789;Melby;Melby;Region Hovedstaden;Halsnæs Kommune
860;Nyrup;Nyrup;Region Sjælland;Sorø Kommune
903;Oksbøl;Oksbøl;Region Syddanmark;Varde Kommune
992;Rødding;Rødding;Region Midtjylland;Viborg Kommune
1041;Sinding;Sinding;Region Midtjylland;Herning Kommune
1041;Sinding;Sinding;Region Midtjylland;Silkeborg Kommune
1050;Skallebølle;Skallebølle;Region Syddanmark;Assens Kommune
1073;Skodsborg;Skodsborg;Region Hovedstaden;Rudersdal Kommune
1086;Skærbæk;Skærbæk;Region Syddanmark;Tønder Kommune
1086;Skærbæk;Skærbæk;Region Syddanmark;Frederecia Kommune
1098;Smørumnedre;Smørumnedre;Region Hovedstaden;Egedal Kommune
1165;Strandby;Strandby;Region Nordjylland;Frederikshavn Kommune
1182;Sundby;Sundby;Region Nordjylland;Morsø Kommune
1196;Svinninge;Svinninge;Region Sjælland;Holbæk Kommune
1201;Sæby;Sæby;Region Sjælland;Lejre Kommune
1201;Sæby;Sæby;Region Sjælland;Kalundborg Kommune
1307;Trørød;Trørød;Region Hovedstaden;Rudersdal Kommune
1331;Udby;Udby;Region Sjælland;Vordingborg Kommune
1331;Udby;Udby;Region Sjælland;Holbæk Kommune
1341;Ugerløse;Ugerløse;Region Sjælland;Kalundborg Kommune
1341;Ugerløse;Ugerløse;Region Sjælland;Holbæk Kommune
1380;Vedskølle;Vedskølle;Region Sjælland;Køge Kommune
1388;Vejle;Vejle;Region Syddanmark;Vejle Kommune
1410;Vester Nebel;Vester Nebel;Region Syddanmark;Kolding Kommune
1410;Vester Nebel;Vester Nebel;Region Syddanmark;Esbjerg Kommune
1462;Voldby;Voldby;Region Midtjylland;Favrskov Kommune
1462;Voldby;Voldby;Region Midtjylland;Norddjurs Kommune
1518;Ørslev;Ørslev;Region Sjælland;Vordingborg Kommune
1518;Ørslev;Ørslev;Region Sjælland;Ringsted Kommune
1522;Ørum;Ørum;Region Midtjylland;Norddjurs Kommune
1522;Ørum;Ørum;Region Midtjylland;Viborg Kommune
