Column1;DST_name;old;Municipality
1;Bagsværd;Bagsværd;Gladsaxe Kommune
3;Bjert;Bjert;Kolding Kommune
4;Brabrand;Brabrand;Aarhus Kommune
6;Broby;Broby;Faaborg-Midtfyn Kommune
8;Brøndby Strand;Brøndby Strand;Brøndby Kommune
9;Charlottenlund;Charlottenlund;Gentofte Kommune
10;Dyssegård;Dyssegård;Gentofte Kommune
11;Egå;Egå;Aarhus Kommune
13;Fårevejle;Fårevejle;Odsherred Kommune
15;Hasselager;Hasselager;Aarhus Kommune
18;Holmegaard;Holmegaard;Næstved Kommune
19;Holte;Holte;Rudersdal Kommune
22;Jerslev Sj;Jerslev Sj;Kalundborg Kommune
23;Karlslunde;Karlslunde;Greve Kommune
25;Kokkedal;Kokkedal;Fredensborg Kommune
27;Lemvig;Lemvig;Lemvig Kommune
29;Lunderskov;Lunderskov;Kolding Kommune
36;Nykøbing F;Nykøbing Falster;Guldborgsund Kommune
41;Rungsted Kyst;Rungsted Kyst;Hørsholm Kommune
42;Rødvig Stevns;Rødvig Stevns;Stevns Kommune
44;Skovlunde;Skovlunde;Ballerup Kommune
46;Smørum;Smorum;Egedal Kommune
50;Sydals;Sydals;Sønderborg Kommune
51;Thyholm;Thyholm;Struer Kommune
56;Vallensbæk Strand;Vallensbæk Strand;Vallensbæk Kommune
57;Vedbæk;Vedbæk;Rudersdal Kommune
62;Ålsgårde;Ålsgårde;Helsingør Kommune
63;Ølstykke;Ølstykke;Egedal Kommune
0;Agedrup;Agedrup;Odense Kommune
3;Fanø;Fanø;Fanø Kommune
5;Hellerup;Hellerup;Gentofte Kommune
6;Hellerup;Hellerup;Gentofte Kommune
12;Højbjerg;Højbjerg;Aarhus Kommune
13;Højbjerg;Højbjerg;Aarhus Kommune
14;Kastrup;Kastrup;Tårnby Kommune
15;Kastrup;Kastrup;Tårnby Kommune
18;Lyngby;Lyngby;Lyngby-Taarbæk Kommune
19;Lyngby;Lyngby;Lyngby-Taarbæk Kommune
20;Løsning;Løsning;Hedensted Kommune
21;Løsning;Løsning;Hedensted Kommune
26;Nærum;Nærum;Rudersdal Kommune
27;Nærum;Nærum;Rudersdal Kommune
28;Nærum;Nærum;Rudersdal Kommune
32;Risskov;Risskov;Aarhus Kommune
34;Skødstrup;Skødstrup;Aarhus Kommune
37;Spøttrup;Spøttrup;Skive Kommune
39;Tjele;Tjele;Viborg Kommune
40;Tjele;Tjele;Viborg Kommune
52;Tureby;Tureby;Faxe Kommune
53;Vemmelev;Vemmelev;Slagelse Kommune
67;Virum;Virum;Lyngby-Taarbæk Kommune
68;Virum;Virum;Lyngby-Taarbæk Kommune
69;Virum;Virum;Lyngby-Taarbæk Kommune
