date,Value,isPartial,Region,topic
2016-11-27,22,False,Nordjylland,News
2016-12-04,23,False,Nordjylland,News
2016-12-11,28,False,Nordjylland,News
2016-12-18,29,False,Nordjylland,News
2016-12-25,41,False,Nordjylland,News
2017-01-01,37,False,Nordjylland,News
2017-01-08,42,False,Nordjylland,News
2017-01-15,39,False,Nordjylland,News
2017-01-22,31,False,Nordjylland,News
2017-01-29,27,False,Nordjylland,News
2017-02-05,28,False,Nordjylland,News
2017-02-12,28,False,Nordjylland,News
2017-02-19,36,False,Nordjylland,News
2017-02-26,30,False,Nordjylland,News
2017-03-05,21,False,Nordjylland,News
2017-03-12,33,False,Nordjylland,News
2017-03-19,21,False,Nordjylland,News
2017-03-26,32,False,Nordjylland,News
2017-04-02,35,False,Nordjylland,News
2017-04-09,35,False,Nordjylland,News
2017-04-16,26,False,Nordjylland,News
2017-04-23,32,False,Nordjylland,News
2017-04-30,28,False,Nordjylland,News
2017-05-07,34,False,Nordjylland,News
2017-05-14,31,False,Nordjylland,News
2017-05-21,41,False,Nordjylland,News
2017-05-28,35,False,Nordjylland,News
2017-06-04,34,False,Nordjylland,News
2017-06-11,36,False,Nordjylland,News
2017-06-18,36,False,Nordjylland,News
2017-06-25,40,False,Nordjylland,News
2017-07-02,35,False,Nordjylland,News
2017-07-09,35,False,Nordjylland,News
2017-07-16,38,False,Nordjylland,News
2017-07-23,40,False,Nordjylland,News
2017-07-30,41,False,Nordjylland,News
2017-08-06,42,False,Nordjylland,News
2017-08-13,44,False,Nordjylland,News
2017-08-20,54,False,Nordjylland,News
2017-08-27,45,False,Nordjylland,News
2017-09-03,43,False,Nordjylland,News
2017-09-10,41,False,Nordjylland,News
2017-09-17,36,False,Nordjylland,News
2017-09-24,43,False,Nordjylland,News
2017-10-01,48,False,Nordjylland,News
2017-10-08,39,False,Nordjylland,News
2017-10-15,34,False,Nordjylland,News
2017-10-22,44,False,Nordjylland,News
2017-10-29,40,False,Nordjylland,News
2017-11-05,36,False,Nordjylland,News
2017-11-12,43,False,Nordjylland,News
2017-11-19,42,False,Nordjylland,News
2017-11-26,31,False,Nordjylland,News
2017-12-03,33,False,Nordjylland,News
2017-12-10,40,False,Nordjylland,News
2017-12-17,38,False,Nordjylland,News
2017-12-24,43,False,Nordjylland,News
