,City,Elbil,interval,week,year
0,Aalborg,31.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
1,Aarhus,25.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
2,Copenhagen,41.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
3,Fanø,25.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
4,Frederiksberg,38.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
5,Kolding,50.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
6,Lyngby,38.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
7,Middelfart,100.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
8,Odder,28.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
9,Odense,36.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
10,Randers,36.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
11,Roskilde,41.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
12,Samsø Municipality,38.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
13,Silkeborg,27.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
14,Skive,32.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
15,Slagelse,49.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
16,Svendborg,67.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
17,Sønderborg,36.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
18,Taastrup,59.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
19,Vejle,46.0,2016-12-26T00 2017-01-01T00,1.0,2017.0
20,Aalborg,47.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
21,Aarhus,35.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
22,Ballerup,42.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
23,Copenhagen,41.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
24,Fanø,27.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
25,Frederiksberg,45.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
26,Haderslev,38.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
27,Hellerup,72.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
28,Herning,40.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
29,Kastrup,42.0,2017-01-02T00 2017-01-08T00,2.0,2017.0
